akira,bigmath,bubble_pop,countingx,picmatch,spelling,story_questions,story_reading,word_copy
7.488,83.724,12.16,,,1.104,,0.242,1.722
7.491,9.047,12.164,,,1.122,,0.243,1.728
7.492,9.182,12.183,,,1.123,,0.244,1.73
7.493,9.321,12.204,,,1.124,,0.245,1.732
7.494,9.44,12.215,,,1.126,,0.246,1.733
7.495,9.444,12.233,,,1.132,,0.247,1.735
7.496,9.561,12.235,,,1.134,,0.248,1.736
7.498,9.584,12.298,,,1.14,,0.249,1.741
7.499,9.678,12.364,,,1.141,,0.25,1.748
7.501,9.696,12.386,,,1.143,,0.251,1.758
7.504,9.822,12.395,,,1.145,,0.252,1.759
7.508,9.904,12.396,,,1.147,,0.253,1.76
7.514,,12.444,,,1.148,,0.254,1.766
7.515,,12.476,,,1.15,,0.255,1.767
7.517,,12.478,,,1.166,,0.256,1.769
7.522,,12.502,,,1.175,,0.257,1.773
7.524,,12.526,,,1.181,,0.258,1.775
7.529,,12.551,,,1.183,,0.259,1.776
7.537,,12.587,,,1.185,,0.26,1.784
7.538,,12.602,,,1.201,,0.261,1.785
7.539,,12.612,,,1.204,,0.262,1.788
7.54,,12.616,,,1.206,,0.263,1.799
7.543,,12.621,,,1.218,,0.264,1.803
7.552,,12.622,,,1.221,,0.265,1.804
7.553,,12.632,,,1.225,,0.266,1.806
7.559,,12.638,,,1.226,,0.267,1.809
7.561,,12.659,,,1.228,,0.268,1.811
7.569,,12.679,,,1.234,,0.269,1.812
7.57,,12.686,,,1.235,,0.27,1.816
7.572,,12.69,,,1.249,,0.271,1.818
7.576,,12.701,,,1.255,,0.272,1.819
7.587,,12.728,,,1.269,,0.273,1.823
7.588,,12.735,,,1.276,,0.274,1.824
7.59,,12.779,,,1.278,,0.275,1.826
7.594,,12.788,,,1.283,,0.276,1.827
7.61,,12.795,,,1.285,,0.277,1.828
7.622,,12.826,,,1.291,,0.278,1.83
7.63,,12.832,,,1.295,,0.279,1.832
7.641,,12.869,,,1.301,,0.28,1.836
7.648,,12.873,,,1.305,,0.281,1.841
7.684,,12.909,,,1.32,,0.282,1.842
7.686,,12.939,,,1.321,,0.283,1.844
7.706,,12.954,,,1.322,,0.284,1.846
7.712,,12.958,,,1.327,,0.285,1.852
7.734,,12.996,,,1.337,,0.286,1.854
7.747,,120.58,,,1.344,,0.287,1.855
